"PROVINCIE","BEVOEGD GEZAG NUMMER","BRIN NUMMER","INSTELLINGSNAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","ONDERWIJSSTRUCTUUR","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","NODAAL GEBIED CODE","NODAAL GEBIED NAAM","RPA-GEBIED CODE","RPA-GEBIED NAAM","WGR-GEBIED CODE","WGR-GEBIED NAAM","COROPGEBIED CODE","COROPGEBIED NAAM","ONDERWIJSGEBIED CODE","ONDERWIJSGEBIED NAAM","RMC-REGIO CODE","RMC-REGIO NAAM"
"Limburg","40501","21CS","CITAVERDE College","Louis Eijssenweg","5","6049CD","HERTEN","0957","ROERMOND","Rooms-Katholiek","0475389160","www.citaverde.nl","VBO/MAVO/MBO","Postbus","569","6040AN","ROERMOND","77","Roermond","31","Roermond","39","Midden-Limburg","38","Midden-Limburg","24","Roermond en omstreken","38","Gewest Limburg-Noord"
"Limburg","40619","23HH","Praktijkonderwijs Roermond","Heinsbergerweg","192","6045CL","ROERMOND","0957","ROERMOND","Rooms-Katholiek","0475323437","www.pro-roermond.nl","PRO","Heinsbergerweg","192","6045CL","ROERMOND","77","Roermond","31","Roermond","39","Midden-Limburg","38","Midden-Limburg","24","Roermond en omstreken","38","Gewest Limburg-Noord"
"Limburg","40842","01GN","Valuascollege Lyc Ath Havo Mavo Vbo Lwoo","Hogeweg","24","5911EB","VENLO","0983","VENLO","Samenwerking RK, Alg. Bijz.","0773590400","www.valuascollege.nl","VBO/MAVO/HAVO/VWO","Postbus","321","5900AH","VENLO","76","Venlo","29","Noord-Limburg","38","Noord-Limburg","37","Noord-Limburg","23","Noord-Limburg","38","Gewest Limburg-Noord"
"Limburg","40842","16XD","College Den Hulster Scholengemeenschap voor ATH HAVO MAVO VBO LWOO","Hagerhofweg","15","5912PN","VENLO","0983","VENLO","Samenwerking RK, Alg. Bijz.","0773590300","www.denhulster.nl","VBO/MAVO/HAVO/VWO","Postbus","60","5900AB","VENLO","76","Venlo","29","Noord-Limburg","38","Noord-Limburg","37","Noord-Limburg","23","Noord-Limburg","38","Gewest Limburg-Noord"
"Limburg","40842","19HR","Blariacumcollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo","Drie Decembersingel","40","5922BD","VENLO","0983","VENLO","Samenwerking RK, Alg. Bijz.","0773590200","www.blariacum.nl","VBO/MAVO/HAVO/VWO","Postbus","457","5900AL","VENLO","76","Venlo","29","Noord-Limburg","38","Noord-Limburg","37","Noord-Limburg","23","Noord-Limburg","38","Gewest Limburg-Noord"
"Limburg","40995","02IB","DaCapo College locatie Havikstraat voor Mavo Vbo Lwoo","Havikstraat","5","6135ED","SITTARD","1883","SITTARD-GELEEN","Rooms-Katholiek","0467820820","www.dacapo-college.nl","VBO/MAVO","Havikstraat","5","6135ED","SITTARD","78","Sittard","32","Westelijke Mijnstreek","40","Westelijke Mijnstreek","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","40995","05GV","DaCapo-College Einighauserweg","Einighauserweg","25","6163AK","GELEEN","1883","SITTARD-GELEEN","Algemeen bijzonder","0467820700","","PRO","Havikstraat","5","6135ED","SITTARD","78","Sittard","32","Westelijke Mijnstreek","40","Westelijke Mijnstreek","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","40996","01MO","Atheneum van de Trevianum Scholengroep","Bradleystraat","25","6135CV","SITTARD","1883","SITTARD-GELEEN","Rooms-Katholiek","0464206900","www.trevianum.nl","VWO","Postbus","211","6130AE","SITTARD","78","Sittard","32","Westelijke Mijnstreek","40","Westelijke Mijnstreek","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","40996","04DS","Gymnasium van de Trevianum Scholengroep","Bradleystraat","25","6135CV","SITTARD","1883","SITTARD-GELEEN","Rooms-Katholiek","0464206900","www.trevianum.nl","VWO","Postbus","211","6130AE","SITTARD","78","Sittard","32","Westelijke Mijnstreek","40","Westelijke Mijnstreek","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","40996","07BQ","HAVO van de Trevianum Scholengroep","Bradleystraat","25","6135CV","SITTARD","1883","SITTARD-GELEEN","Rooms-Katholiek","0464206900","www.trevianum.nl","HAVO","Postbus","211","6130AE","SITTARD","78","Sittard","32","Westelijke Mijnstreek","40","Westelijke Mijnstreek","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41203","03XF","Mundium College voor vwo, havo, mavo, vbo en lwoo","Heinsbergerweg","184","6045CK","ROERMOND","0957","ROERMOND","Algemeen bijzonder","0475345700","www.lyceumschondeln.nl","VBO/MAVO/HAVO/VWO","Heinsbergerweg","184","6045CK","ROERMOND","77","Roermond","31","Roermond","39","Midden-Limburg","38","Midden-Limburg","24","Roermond en omstreken","38","Gewest Limburg-Noord"
"Limburg","41203","14PS","Bisschop College Broekhin voor Lyceum Havo Mavo Vbo","Bob Boumanstraat","30","6042EH","ROERMOND","0957","ROERMOND","Rooms-Katholiek","0475346666","www.broekhin.nl","VBO/MAVO/HAVO/VWO","Bob Boumanstraat","30-32","6042EH","ROERMOND","77","Roermond","31","Roermond","39","Midden-Limburg","38","Midden-Limburg","24","Roermond en omstreken","38","Gewest Limburg-Noord"
"Limburg","41203","16PE","Connect College voor vwo havo mavo vbo en lwoo","Populierlaan","1","6101BA","ECHT","1711","ECHT-SUSTEREN","Rooms-Katholiek","0475416111","www.connectcollege.nl","VBO/MAVO/HAVO/VWO","Postbus","38","6100AA","ECHT","77","Roermond","31","Roermond","39","Midden-Limburg","38","Midden-Limburg","24","Roermond en omstreken","38","Gewest Limburg-Noord"
"Limburg","41203","17GT","Rooms Katholieke Scholengemeenschap St Ursula voor Vwo Havo Vmbo Lwoo","Bergerweg","21","6085AS","HORN","1640","LEUDAL","Rooms-Katholiek","0475582121","www.ursula.nl","VBO/MAVO/HAVO/VWO","Postbus","4728","6085ZG","HORN","77","Roermond","31","Roermond","39","Midden-Limburg","38","Midden-Limburg","24","Roermond en omstreken","38","Gewest Limburg-Noord"
"Limburg","41391","01GL","Sophianum Scholengemeenschap in het Heuvelland","Landsraderweg","3","6271NT","GULPEN","1729","GULPEN-WITTEM","Rooms-Katholiek","0434505310","www.sophianum.nl","VBO/MAVO/HAVO/VWO","Landsraderweg","3","6271NT","GULPEN","80","Maastricht","34","Maastricht Mergelland","42","Maastricht en Mergelland","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","02DF","Grotiuscollege Stedelijke Scholengemeenschap voor Lyceum Havo Mavo","Akerstraat","117","6417BM","HEERLEN","0917","HEERLEN","Openbaar","0455713952","www.grotius.nl","MAVO/HAVO/VWO","Postbus","189","6430AD","HOENSBROEK","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","02ZR","Het College voor Lyc Havo Mavo Vbo lwoo","Parklaan","1-A","6006NT","WEERT","0988","WEERT","Rooms-Katholiek","0495657740","www.college.nl","VBO/MAVO/HAVO/VWO","Postbus","69","6000AB","WEERT","75","Weert","30","Weert","39","Midden-Limburg","38","Midden-Limburg","22","Zuidoost-Noord-Brabant","38","Gewest Limburg-Noord"
"Limburg","41391","05FJ","Emmacollege voor Havo Mavo Vbo Lwoo","De Weggebekker","1","6413NR","HEERLEN","0917","HEERLEN","Samenwerking PC, RK","0455224040","www.emma-lvo.nl","VBO/MAVO/HAVO","Postbus","189","6430AD","HOENSBROEK","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","16SL","Sint-Janscollege voor Vwo Havo","Amstenraderweg","122","6431EN","HOENSBROEK","0917","HEERLEN","Rooms-Katholiek","0455218666","www.sintjan-lvo.nl","HAVO/VWO","Postbus","189","6430AD","HOENSBROEK","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","18DD","Scholengemeenschap Philips van Horne voor LYC HAVO MAVO VBO LWOO","Wertastraat","1","6004XG","WEERT","0988","WEERT","Rooms-Katholiek","0495431030","www.philipsvanhorne.nl","VBO/MAVO/HAVO/VWO/PRO","Postbus","190","6000AD","WEERT","75","Weert","30","Weert","39","Midden-Limburg","38","Midden-Limburg","22","Zuidoost-Noord-Brabant","38","Gewest Limburg-Noord"
"Limburg","41391","18DO","Compass voor Atheneum Havo en Mavo","Schoolstraat","16","6443BT","BRUNSSUM","0899","BRUNSSUM","Rooms-Katholiek","0455258616","www.compass-lvo.nl","MAVO/HAVO/VWO","Postbus","189","6430AD","HOENSBROEK","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","19PV","Graaf Huyn College voor LYC HAVO MAVO VBO LWOO","Jos Klijnenlaan","683","6164AP","GELEEN","1883","SITTARD-GELEEN","Samenwerking PC, RK","0464236400","www.ghc.nl","VBO/MAVO/HAVO/VWO","Jos Klijnenlaan","683","6164AP","GELEEN","78","Sittard","32","Westelijke Mijnstreek","40","Westelijke Mijnstreek","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","20IS","Stella Maris College voor Lyc Havo Mavo Vbo Lwoo","Parallelweg","56","6231CJ","MEERSSEN","0938","MEERSSEN","Rooms-Katholiek","0433586100","www.stellamariscollege.nl","VBO/MAVO/HAVO/VWO","Postbus","81","6230AB","MEERSSEN","80","Maastricht","34","Maastricht Mergelland","42","Maastricht en Mergelland","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","20KA","Scholengemeenschap Groenewald voor Vmbo Havo VWO","Kinskystraat","15","6171LX","STEIN LB","0971","STEIN","Rooms-Katholiek","0464332820","www.groenewald.nl","VBO/MAVO/HAVO/VWO","Postbus","6","6170AA","STEIN LB","78","Sittard","32","Westelijke Mijnstreek","40","Westelijke Mijnstreek","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","20LL","Bouwens van der Boije College voor Lyceum Havo Mavo Lwoo Vbo","Min. Calsstraat","8-10","5981VT","PANNINGEN","1894","PEEL EN MAAS","Rooms-Katholiek","0773068888","www.bbcpanningen.nl","VBO/MAVO/HAVO/VWO","Postbus","7191","5980AD","PANNINGEN","76","Venlo","29","Noord-Limburg","38","Noord-Limburg","37","Noord-Limburg","23","Noord-Limburg","38","Gewest Limburg-Noord"
"Limburg","41391","25FY","Raayland College RK SGM v Gymn Ath Havo Mavo Vmbo Pro","Leunseweg","6","5802CH","VENRAY","0984","VENRAY","Rooms-Katholiek","0478551155","www.raayland.nl","VBO/MAVO/HAVO/VWO/PRO","Postbus","166","5800AD","VENRAY","76","Venlo","29","Noord-Limburg","38","Noord-Limburg","37","Noord-Limburg","23","Noord-Limburg","38","Gewest Limburg-Noord"
"Limburg","41391","25GF","Dendroncollege RK SGM v Lyc Havo Mavo Vbo Lwoo","Gebr. van Doornelaan","124","5961BE","HORST","1507","HORST AAN DE MAAS","Rooms-Katholiek","0773970880","www.dendron.nl","VBO/MAVO/HAVO/VWO","Postbus","6032","5960AA","HORST","76","Venlo","29","Noord-Limburg","38","Noord-Limburg","37","Noord-Limburg","23","Noord-Limburg","38","Gewest Limburg-Noord"
"Limburg","41391","26HL","Terra Nigra Praktijkonderwijs","Terra Nigrastraat","5","6216BK","MAASTRICHT","0935","MAASTRICHT","Rooms-Katholiek","0433621079","www.terranigra.nl","PRO","Terra Nigrastraat","5","6216BK","MAASTRICHT","80","Maastricht","34","Maastricht Mergelland","42","Maastricht en Mergelland","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","27VG","Porta Mosana College","Oude Molenweg","130","6228XW","MAASTRICHT","0935","MAASTRICHT","Openbaar","0433565856","","VBO/MAVO/HAVO/VWO","Postbus","4050","6202RB","MAASTRICHT","80","Maastricht","34","Maastricht Mergelland","42","Maastricht en Mergelland","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","27ZH","Sint-Maartenscollege","Bemelerweg","1","6226NE","MAASTRICHT","0935","MAASTRICHT","Rooms-Katholiek","0433526868","www.sint-maartenscollege.nl","VBO/MAVO/HAVO/VWO","Bemelerweg","1","6226NE","MAASTRICHT","80","Maastricht","34","Maastricht Mergelland","42","Maastricht en Mergelland","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","41391","27ZJ","Bonnefantencollege","Eenhoornsingel","100","6216CW","MAASTRICHT","0935","MAASTRICHT","Algemeen bijzonder","0433541234","www.bonnefantencollege.nl","VBO/MAVO/HAVO/VWO","Eenhoornsingel","100","6216CW","MAASTRICHT","80","Maastricht","34","Maastricht Mergelland","42","Maastricht en Mergelland","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","44813","17UX","School voor Praktijk onderwijs t Wildveld","Roerdompstraat","5","5912BR","VENLO","0983","VENLO","Rooms-Katholiek","0773542450","www.wildveld.nl","PRO","Roerdompstraat","5","5912BR","VENLO","76","Venlo","29","Noord-Limburg","38","Noord-Limburg","37","Noord-Limburg","23","Noord-Limburg","38","Gewest Limburg-Noord"
"Limburg","99048","02ZC","Gymnasium voor het Bernardinuscollege","Sint Franciscusweg","38","6417BD","HEERLEN","0917","HEERLEN","Rooms-Katholiek","0455740150","www.bernardinuscollege.nl","VWO","Sint Franciscusweg","38","6417BD","HEERLEN","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","99048","13FB","Katholieke School voor Praktijkonderwijs","Sittarderweg","75","6412CC","HEERLEN","0917","HEERLEN","Rooms-Katholiek","0455615555","www.katholiekeschoolvoorpraktijkonderwijs.nl","PRO","Postbus","31076","6370AB","LANDGRAAF","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","99048","16VM","Herlecollege Scholengemeenschap voor Vmbo","Heldevierlaan","5","6415SB","HEERLEN","0917","HEERLEN","Rooms-Katholiek","0455721010","www.bcpl.nl","VBO/MAVO","Postbus","31076","6370AB","LANDGRAAF","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","99048","17JB","Charlemagne College voor VWO (ath.-gymn.), havo, vmbo, vmbo-t, lwoo","Eijkhagenlaan","31","6371XA","LANDGRAAF","0882","LANDGRAAF","Rooms-Katholiek","0455315656","www.charlemagnecollege.nl","VBO/MAVO/HAVO/VWO","Postbus","31012","6370AA","LANDGRAAF","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","99048","19HV","Ath vh Bernardinuscol","Akerstraat","97","6417BK","HEERLEN","0917","HEERLEN","Rooms-Katholiek","0455740150","www.bernardinuscollege.nl","VWO","Akerstraat","97","6417BK","HEERLEN","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","99048","19QC","School voor Havo Mavo V H Bernardinuscollege","Akerstraat","95","6417BK","HEERLEN","0917","HEERLEN","Rooms-Katholiek","0455740150","www.bernardinuscollege.nl","MAVO/HAVO","Akerstraat","95","6417BK","HEERLEN","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","99048","19XS","Sintermeertencollege Scholengemeenschap voor Lyceum Havo Mavo","Valkenburgerweg","219","6419AT","HEERLEN","0917","HEERLEN","Rooms-Katholiek","0455711664","www.sintermeerten.nl/","MAVO/HAVO/VWO","Valkenburgerweg","219","6419AT","HEERLEN","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Limburg","99048","26KZ","Openbare School voor Praktijkonderwijs","Sittarderweg","75","6412CC","HEERLEN","0917","HEERLEN","Openbaar","0455615555","www.openbareschoolvoorpraktijkonderwijs.nl","PRO","Postbus","31076","6370AB","LANDGRAAF","79","Heerlen","33","Parkstad Limburg","41","Oostelijk Zuid-Limburg","39","Zuid-Limburg","25","Zuid-Limburg","39","Gewest Zuid-Limburg"
"Noord-Brabant","13556","02DW","Gymnasium Bernrode","Abdijstraat","36","5473AG","HEESWIJK-DINTHER","1721","BERNHEZE","Rooms-Katholiek","0413291342","www.bernrode.nl","VWO","Abdijstraat","36","5473AG","HEESWIJK-DINTHER","72","Oss","27","Noordoost-Brabant","36","Noordoost-Brabant","35","Noordoost-Noord-Brabant","12","Noord-Noord-Brabant","36","Noord-Oost-Brabant"
"Noord-Brabant","13556","20AJ","Stedelijk Gymnasium","Mercatorplein","2","5223LL","'S-HERTOGENBOSCH","0796","S HERTOGENBOSCH","Openbaar","0736219068","www.stedgymdenbosch.nl","VWO","Mercatorplein","2","5223LL","'S-HERTOGENBOSCH","69","'s-Hertogenbosch","27","Noordoost-Brabant","36","Noordoost-Brabant","35","Noordoost-Noord-Brabant","12","Noord-Noord-Brabant","36","Noord-Oost-Brabant"
"Noord-Brabant","26093","00KV","KSE (Katholieke Scholengemeenschap Etten-Leur e.o.)","Stijn Streuvelslaan","42","4873EB","ETTEN-LEUR","0777","ETTEN-LEUR","Rooms-Katholiek","0765015905","www.k-s-e.nl","MAVO/HAVO/VWO","Postbus","159","4870AD","ETTEN-LEUR","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","29187","03KN","Rooms Katholieke SGM Pius X voor Gymnasium Atheneum Havo Mavo Vbo Pro Lwoo","Tuinstraat","1","5531GK","BLADEL","1728","BLADEL","Rooms-Katholiek","0497361261","www.piusx-college.nl","VBO/MAVO/HAVO/VWO/PRO","Postbus","169","5530AD","BLADEL","70","Eindhoven","28","Zuidoost-Brabant","37","Zuidoost-Brabant","36","Zuidoost-Noord-Brabant","22","Zuidoost-Noord-Brabant","37","Zuidoost-Brabant"
"Noord-Brabant","30101","04GU","Elde College Schijndel voor VWO HAVO VMBO LWOO en PRO","Putsteeg","4","5481XT","SCHIJNDEL","1948","MEIERIJSTAD","Rooms-Katholiek","0738200400","www.eldecollege.nl","VBO/MAVO/HAVO/VWO/PRO","Postbus","63","5480AB","SCHIJNDEL","71","Uden","27","Noordoost-Brabant","36","Noordoost-Brabant","35","Noordoost-Noord-Brabant","12","Noord-Noord-Brabant","36","Noord-Oost-Brabant"
"Noord-Brabant","30827","23DB","MET Praktijkonderwijs Waalwijk","Koetshuislaan","1","5146BA","WAALWIJK","0867","WAALWIJK","Algemeen bijzonder","0416333146","www.met-pro.nl","PRO","Postbus","88","5140AB","WAALWIJK","67","Waalwijk","26","Midden-Brabant","35","Midden-Brabant","34","Midden-Noord-Brabant","12","Noord-Noord-Brabant","35","Midden-Brabant"
"Noord-Brabant","31087","09VG","Onderwijsgroep Tilburg VMBO Reeshof, VMBO LWOO","Warmondstraat","240","5036BV","TILBURG","0855","TILBURG","Rooms-Katholiek","0135784770","www.reeshofcollege.nl","VBO/MAVO","Postbus","1330","5004BH","TILBURG","68","Tilburg","26","Midden-Brabant","35","Midden-Brabant","34","Midden-Noord-Brabant","21","Tilburg en omstreken","35","Midden-Brabant"
"Noord-Brabant","31087","20GD","Campus 013, katholieke scholengemeenschap voor vbo en mavo, lwoo","Stappegoorweg","185","5022DD","TILBURG","0855","TILBURG","Rooms-Katholiek","0135397040","www.campus013.nl","VBO/MAVO","Postbus","1330","5004BH","TILBURG","68","Tilburg","26","Midden-Brabant","35","Midden-Brabant","34","Midden-Noord-Brabant","21","Tilburg en omstreken","35","Midden-Brabant"
"Noord-Brabant","31107","02HI","Steenspil  VMBO","Steenspil","46","4661TZ","HALSTEREN","0748","BERGEN OP ZOOM","Algemeen bijzonder","0164216460","www.steenspil.nl","VBO/MAVO","Postbus","699","4870AR","ETTEN-LEUR","64","Bergen op Zoom","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","31107","03AM","Stedelijk Gymnasium","Nassausingel","7","4811DE","BREDA","0758","BREDA","Openbaar","0765225040","www.gymnasiumbreda.nl","VWO","Nassausingel","7","4811DE","BREDA","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","31107","15NY","Praktijkschool Breda","Frankenthalerstraat","17","4816KA","BREDA","0758","BREDA","Rooms-Katholiek","0765048000","www.praktijkschoolbreda.nl","PRO","Postbus","699","4870AR","ETTEN-LEUR","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","31107","19XV","Prisma VO","Tuinzigtlaan","10","4812XN","BREDA","0758","BREDA","Openbaar","0765048000","www.prinsentuinvancooth.nl","VBO/MAVO/HAVO/VWO","Postbus","699","4870AR","ETTEN-LEUR","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","31107","21CY","AOC West Brabant","Frankenthalerstraat","13","4816KA","BREDA","0758","BREDA","Samenwerking PC, RK, Alg. Bijz","0765048013","www.rocwb.nl","VBO/MAVO/MBO","Postbus","699","4870AR","ETTEN-LEUR","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","31107","25LX","ROC West-Brabant","Trivium","76","4873LP","ETTEN-LEUR","0777","ETTEN-LEUR","Samenwerking PC, RK, Alg. Bijz","0765048000","www.rocwb.nl","VBO/MAVO/MBO","Postbus","699","4870AR","ETTEN-LEUR","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","31142","26CC","Helicon Opleidingen","Kooikersweg","2","5223KA","'S-HERTOGENBOSCH","0796","S HERTOGENBOSCH","Algemeen bijzonder","0884354200","www.helicon.nl","VBO/MBO","Postbus","2411","5202CK","'S-HERTOGENBOSCH","69","'s-Hertogenbosch","27","Noordoost-Brabant","36","Noordoost-Brabant","35","Noordoost-Noord-Brabant","12","Noord-Noord-Brabant","36","Noord-Oost-Brabant"
"Noord-Brabant","31226","02TC","Christiaan Huygens College voor Lyceum Havo Mavo Vbo Lwoo","Von Flotowlaan","1","5653AD","EINDHOVEN","0772","EINDHOVEN","Protestants-Christelijk/Evange","0402516221","www.huygenslyceum.nl","VBO/MAVO/HAVO/VWO","Postbus","8827","5605LV","EINDHOVEN","70","Eindhoven","28","Zuidoost-Brabant","37","Zuidoost-Brabant","36","Zuidoost-Noord-Brabant","22","Zuidoost-Noord-Brabant","37","Zuidoost-Brabant"
"Noord-Brabant","33372","16QH","De Nassau Scholengemeenschap voor Gymn Ath Havo Mavo","Paul Krugerlaan","2","4818BC","BREDA","0758","BREDA","Protestants-Christelijk","0765330330","www.denassau.nl","MAVO/HAVO/VWO","Paul Krugerlaan","2","4818BC","BREDA","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","35647","01FY","Augustinianum Scholengemeenschap voor Vwo en Havo","Dirk Boutslaan","25","5613LH","EINDHOVEN","0772","EINDHOVEN","Rooms-Katholiek","0402111069","www.augustinianum.nl","HAVO/VWO","Dirk Boutslaan","25","5613LH","EINDHOVEN","70","Eindhoven","28","Zuidoost-Brabant","37","Zuidoost-Brabant","36","Zuidoost-Noord-Brabant","22","Zuidoost-Noord-Brabant","37","Zuidoost-Brabant"
"Noord-Brabant","35647","19XH","Het Hooghuis","Molenstraat","30","5341GD","OSS","0828","OSS","Algemeen bijzonder","0412224180","www.hethooghuis.nl","VBO/MAVO/HAVO/VWO/PRO","Postbus","384","5340AJ","OSS","72","Oss","27","Noordoost-Brabant","36","Noordoost-Brabant","35","Noordoost-Noord-Brabant","12","Noord-Noord-Brabant","36","Noord-Oost-Brabant"
"Noord-Brabant","40143","01IW","Dongemond College voor Atheneum Havo en Vmbo","Collegeweg","1","4942VC","RAAMSDONKSVEER","0779","GEERTRUIDENBERG","Rooms-Katholiek","0162513469","www.dongemondcollege.nl/","VBO/MAVO/HAVO/VWO","Postbus","124","4940AC","RAAMSDONKSVEER","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","40232","25KX","Lorentz Casimir Lyceum","Celebeslaan","10-20","5641AG","EINDHOVEN","0772","EINDHOVEN","Algemeen bijzonder","0402909420","www.lcl.nl","HAVO/VWO","Celebeslaan","10-20","5641AG","EINDHOVEN","70","Eindhoven","28","Zuidoost-Brabant","37","Zuidoost-Brabant","36","Zuidoost-Noord-Brabant","22","Zuidoost-Noord-Brabant","37","Zuidoost-Brabant"
"Noord-Brabant","40278","13VV","Praktijkschool De Zwaaikom","Nassaustraat","10","4902NA","OOSTERHOUT NB","0826","OOSTERHOUT","Rooms-Katholiek","0162422827","www.dezwaaikom.nl","PRO","Nassaustraat","10","4902NA","OOSTERHOUT NB","66","Breda","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","40517","15IS","Het Kwadrant School voor Praktijk Onderwijs","Oberonstraat","2","4624VM","BERGEN OP ZOOM","0748","BERGEN OP ZOOM","Rooms-Katholiek","0164210199","www.hetkwadrant-boz.nl","PRO","Oberonstraat","2","4624VM","BERGEN OP ZOOM","64","Bergen op Zoom","25","West-Brabant","34","West-Brabant","33","West-Noord-Brabant","20","West-Noord-Brabant","34","West-Brabant"
"Noord-Brabant","40588","06HF","Udens College voor Lyceum Havo Mavo Vbo Lwoo","President Kennedylaan","22-B","5402KD","UDEN","0856","UDEN","Samenwerking Opb., RK","0413283000","www.udenscollege.nl","VBO/MAVO/HAVO/VWO","Postbus","104","5400AC","UDEN","71","Uden","27","Noordoost-Brabant","36","Noordoost-Brabant","35","Noordoost-Noord-Brabant","12","Noord-Noord-Brabant","36","Noord-Oost-Brabant"
"Noord-Brabant","40681","01GH","W v Oranje Coll Chr SGM v Ath Havo Mavo Vbo Lwoo","De Gaard","4","5146AW","WAALWIJK","0867","WAALWIJK","Protestants-Christelijk","0416333069","www.het-willem.nl","VBO/MAVO/HAVO/VWO","De Gaard","4","5146AW","WAALWIJK","67","Waalwijk","26","Midden-Brabant","35","Midden-Brabant","34","Midden-Noord-Brabant","12","Noord-Noord-Brabant","35","Midden-Brabant"
